# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Aug 19 15:48:34 2022
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and pl_radestr < 5
# CONSTRAINT:  and pl_bmassestr > 0)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN rv_flag:        Detected by Radial Velocity Variations
# COLUMN tran_flag:      Detected by Transits
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,rv_flag,tran_flag,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
TOI-125 b,TOI-125,1,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),1,1,Published Confirmed,0,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.5399N/abstract target=ref>Nielsen et al. 2020</a>,4.65382000,0.00033000,-0.00031000,0,0.051860,0.000860,-0.000770,0,2.726,0.075,-0.075,0,0.243,0.007,-0.007,0,9.50000,0.88000,-0.88000,0,0.02989,0.00277,-0.00277,0,Mass,0.194000,0.041000,-0.036000,0,185.00,9.00,-9.00,0,1037,11,-11,0,0,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.5399N/abstract target=ref>Nielsen et al. 2020</a>,K0 V,5320.00,39.00,-39.00,0,0.85,0.01,-0.01,0,0.86,0.04,-0.04,0,-0.020,0.030,-0.030,0,[Fe/H],4.52,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h34m22.42s,23.5934253,-66d40m34.86s,-66.6763495,111.0590000,0.4440000,-0.4400000,11.0230000,0.0080000,-0.0080000,8.9950000,0.0210000,-0.0210000,10.7180000,0.0004110,-0.0004110,2020-02-06,2020-03,2020-02-13
K2-285 b,K2-285,1,1,4,Transit,2018,K2,1,1,Published Confirmed,0,<a refstr=PALLE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...623A..41P/abstract target=ref>Palle et al. 2019</a>,3.47174500,0.00004400,-0.00004600,0,0.038170,0.000950,-0.000920,0,2.590,0.060,-0.060,0,0.231,0.005,-0.005,0,9.68000,1.21000,-1.37000,0,0.03046,0.00381,-0.00431,0,Mass,0.000000,,,0,234.31,19.58,-18.28,0,1089,22,-22,0,0,<a refstr=PALLE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...623A..41P/abstract target=ref>Palle et al. 2019</a>,K2 V,4975.00,95.00,-95.00,0,0.79,0.02,-0.02,0,0.83,0.02,-0.02,0,0.000,0.050,-0.050,0,[Fe/H],4.40,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h17m32.24s,349.3843458,+01d18m00.55s,1.3001522,154.9610000,1.1610000,-1.1440000,12.0750000,0.1140000,-0.1140000,9.9710000,0.0220000,-0.0220000,11.8040000,0.0002950,-0.0002950,2018-12-11,2019-03,2018-12-13
HD 73583 c,HD 73583,1,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),1,1,Published Confirmed,0,<a refstr=BARRAG_AACUTE_N_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv211013069B/abstract target=ref>Barrag&aacute;n et al. 2021</a>,18.87974000,0.00086000,-0.00074000,0,0.124200,0.005500,-0.005400,0,2.390,0.100,-0.090,0,0.213,0.009,-0.008,0,9.70000,1.80000,-1.70000,0,0.03052,0.00566,-0.00535,0,Mass,0.080000,0.110000,-0.060000,0,10.20,1.20,-1.10,0,498,15,-15,0,0,<a refstr=BARRAG_AACUTE_N_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv211013069B/abstract target=ref>Barrag&aacute;n et al. 2021</a>,K4 V,4511.00,110.00,-110.00,0,0.65,0.02,-0.02,0,0.73,0.02,-0.02,0,0.000,0.090,-0.090,0,[Fe/H],4.62,0.12,-0.12,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h38m45.19s,129.6883026,-13d15m23.50s,-13.2565267,31.5666000,0.0321000,-0.0320000,9.6700000,0.0300000,-0.0300000,6.9480000,0.0240000,-0.0240000,9.2703300,0.0004800,-0.0004800,2022-03-16,2021-10,2022-03-16
Kepler-103 b,Kepler-103,1,1,2,Transit,2014,Kepler,0,1,Published Confirmed,0,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,15.96540000,,,0,,,,,3.370,0.090,-0.090,0,0.301,0.008,-0.008,0,9.70000,8.60000,-8.60000,0,0.03100,0.02700,-0.02700,0,Mass,,,,,,,,,,,,,1,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,,5845.00,88.00,-88.00,0,1.44,0.04,-0.04,0,1.09,0.07,-0.07,0,0.070,0.110,-0.110,0,[Fe/H],4.16,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h15m56.29s,288.9845512,+40d03m52.15s,40.0644857,494.8320000,5.8940000,-5.7580000,11.8830000,0.0240000,-0.0240000,10.8730000,0.0170000,-0.0170000,12.2466000,0.0001860,-0.0001860,2014-05-14,2014-02,2014-05-14
Kepler-20 b,Kepler-20,1,2,6,Transit,2011,Kepler,1,1,Published Confirmed,0,<a refstr=BUCHHAVE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..160B/abstract target=ref>Buchhave et al. 2016</a>,3.69611525,0.00000115,-0.00000087,0,0.046300,0.000900,-0.001500,0,1.868,0.066,-0.034,0,0.167,0.006,-0.003,0,9.70000,1.41000,-1.44000,0,0.03052,0.00444,-0.00453,0,Mass,0.030000,0.090000,-0.030000,0,,,,,1105,37,-37,0,0,<a refstr=BUCHHAVE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..160B/abstract target=ref>Buchhave et al. 2016</a>,,5495.00,50.00,-50.00,0,0.96,0.02,-0.02,0,0.95,0.05,-0.05,0,0.070,0.080,-0.080,0,[m/H],4.45,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,282.5630000,1.7760000,-1.7530000,12.6100000,0.0690000,-0.0690000,10.8710000,0.0130000,-0.0130000,12.4535000,0.0001420,-0.0001420,2017-03-28,2016-12,2017-03-30
TOI-763 b,TOI-763,1,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),1,1,Published Confirmed,0,<a refstr=FRIDLUND_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.4503F/abstract target=ref>Fridlund et al. 2020</a>,5.60570000,0.00130000,-0.00130000,0,0.060000,0.000600,-0.000600,0,2.280,0.110,-0.110,0,0.203,0.010,-0.010,0,9.79000,0.78000,-0.78000,0,0.03080,0.00245,-0.00245,0,Mass,0.040000,0.040000,-0.030000,0,,,,,1038,16,-16,0,0,<a refstr=FRIDLUND_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.4503F/abstract target=ref>Fridlund et al. 2020</a>,G,5450.00,60.00,-60.00,0,0.90,0.01,-0.01,0,0.92,0.03,-0.03,0,0.010,0.050,-0.050,0,[Fe/H],4.45,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h57m52.34s,194.4680980,-39d45m29.02s,-39.7580613,95.1274000,0.4536000,-0.4495000,10.2650000,0.0230000,-0.0230000,8.4900000,0.0210000,-0.0210000,9.9991500,0.0002370,-0.0002370,2020-09-17,2020-11,2020-09-24
K2-38 c,K2-38,1,1,2,Transit,2016,K2,1,1,Published Confirmed,0,<a refstr=SINUKOFF_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...827...78S/abstract target=ref>Sinukoff et al. 2016</a>,10.56103000,0.00090000,-0.00090000,0,0.096400,0.001600,-0.001600,0,2.420,0.290,-0.290,0,0.216,0.026,-0.026,0,9.90000,4.60000,-4.60000,0,0.03115,0.01447,-0.01447,0,Mass,,,,,128.30,22.10,-22.10,0,858,37,-37,0,0,<a refstr=SINUKOFF_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...827...78S/abstract target=ref>Sinukoff et al. 2016</a>,G2 V,5757.00,60.00,-60.00,0,1.10,0.09,-0.09,0,1.07,0.05,-0.05,0,0.280,0.040,-0.040,0,[Fe/H],4.35,0.08,-0.08,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h00m07.99s,240.0333095,-23d11m21.91s,-23.1894196,192.6900000,2.6690000,-2.5970000,11.3440000,0.0230000,-0.0230000,9.4700000,0.0210000,-0.0210000,11.1840000,0.0010150,-0.0010150,2016-07-06,2016-08,2016-07-07
TOI-431 d,TOI-431,1,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),1,1,Published Confirmed,0,<a refstr=OSBORN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.2782O/abstract target=ref>Osborn et al. 2021</a>,12.46103000,0.00002000,-0.00002000,0,0.098000,0.002000,-0.002000,0,3.290,0.090,-0.090,0,0.294,0.008,-0.008,0,9.90000,1.53000,-1.49000,0,0.03115,0.00481,-0.00469,0,Mass,0.000000,,,0,,,,,633,14,-14,0,0,<a refstr=OSBORN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.2782O/abstract target=ref>Osborn et al. 2021</a>,,4850.00,75.00,-75.00,0,0.73,0.02,-0.02,0,0.78,0.07,-0.07,0,0.200,0.050,-0.050,0,[Fe/H],4.60,0.06,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h33m04.62s,83.2692502,-26d43m25.93s,-26.7238698,32.5686000,0.0312000,-0.0311000,9.1200000,0.0300000,-0.0300000,6.7230000,0.0210000,-0.0210000,8.7917100,0.0005430,-0.0005430,2021-08-16,2021-10,2021-08-16
K2-19 d,K2-19,1,1,3,Transit,2016,K2,1,1,Published Confirmed,0,<a refstr=PETIGURA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159....2P/abstract target=ref>Petigura et al. 2020</a>,2.50810000,0.00020000,-0.00020000,0,,,,,1.110,0.050,-0.050,0,0.099,0.004,-0.004,0,10.00000,,,1,0.03146,,,1,Mass,,,,,,,,,,,,,1,<a refstr=PETIGURA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159....2P/abstract target=ref>Petigura et al. 2020</a>,,5322.00,100.00,-100.00,0,0.82,0.03,-0.03,0,0.88,0.03,-0.03,0,0.060,0.050,-0.050,0,[Fe/H],4.51,0.08,-0.08,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h39m50.46s,174.9602543,+00d36m12.95s,0.6035960,289.8270000,5.6800000,-5.4690000,13.0240000,0.0920000,-0.0920000,11.1610000,0.0260000,-0.0260000,12.8153000,0.0004550,-0.0004550,2022-01-31,2020-01,2022-01-31
Kepler-20 d,Kepler-20,1,2,6,Transit,2011,Kepler,1,1,Published Confirmed,0,<a refstr=BUCHHAVE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..160B/abstract target=ref>Buchhave et al. 2016</a>,77.61130017,0.00012305,-0.00011588,0,0.350600,0.008100,-0.010100,0,2.744,0.073,-0.055,0,0.245,0.007,-0.005,0,10.07000,3.97000,-3.70000,0,0.03168,0.01249,-0.01164,0,Mass,,,,,,,,,401,13,-13,0,0,<a refstr=BUCHHAVE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..160B/abstract target=ref>Buchhave et al. 2016</a>,,5495.00,50.00,-50.00,0,0.96,0.02,-0.02,0,0.95,0.05,-0.05,0,0.070,0.080,-0.080,0,[m/H],4.45,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,282.5630000,1.7760000,-1.7530000,12.6100000,0.0690000,-0.0690000,10.8710000,0.0130000,-0.0130000,12.4535000,0.0001420,-0.0001420,2017-03-28,2016-12,2017-03-30
TOI-1062 b,TOI-1062,1,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),1,1,Published Confirmed,0,<a refstr=OTEGI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...653A.105O/abstract target=ref>Otegi et al. 2021</a>,4.11296000,0.00150000,-0.00150000,0,0.052000,0.024000,-0.025000,0,2.265,0.096,-0.091,0,0.202,0.009,-0.008,0,10.15000,0.81000,-0.84000,0,0.03194,0.00255,-0.00264,0,Mass,0.177000,0.067000,-0.064000,0,232.00,11.00,-10.00,0,1077,10,-9,0,0,<a refstr=OTEGI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...653A.105O/abstract target=ref>Otegi et al. 2021</a>,G9 V,5328.00,56.00,-56.00,0,0.84,0.09,-0.09,0,0.94,0.02,-0.02,0,0.140,0.040,-0.040,0,[Fe/H],4.55,0.09,-0.09,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h32m29.03s,38.1209678,-78d01m25.26s,-78.0236828,82.1733000,0.1635000,-0.1629000,10.2490000,0.0050000,-0.0050000,8.2960000,0.0310000,-0.0310000,10.0008000,0.0003740,-0.0003740,2021-08-03,2021-09,2021-08-03
EPIC 249893012 d,EPIC 249893012,1,1,3,Transit,2020,K2,1,1,Published Confirmed,0,<a refstr=HIDALGO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..89H/abstract target=ref>Hidalgo et al. 2020</a>,35.74700000,0.00500000,-0.00500000,0,0.220000,0.020000,-0.040000,0,3.940,0.130,-0.120,0,0.352,0.012,-0.011,0,10.18000,2.46000,-2.42000,0,0.03203,0.00774,-0.00761,0,Mass,0.150000,0.210000,-0.110000,0,53.00,23.00,-10.00,0,752,69,-37,0,0,<a refstr=HIDALGO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..89H/abstract target=ref>Hidalgo et al. 2020</a>,G8 IV/V,5430.00,85.00,-85.00,0,1.71,0.04,-0.04,0,1.05,0.05,-0.05,0,0.200,0.050,-0.050,0,[Fe/H],3.99,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h12m59.58s,228.2482353,-16d43m28.73s,-16.7246474,321.2960000,4.1890000,-4.0850000,11.4290000,0.0220000,-0.0220000,9.7140000,0.0230000,-0.0230000,11.4019000,0.0004950,-0.0004950,2020-02-06,2020-04,2020-02-13
HD 73583 b,HD 73583,1,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),1,1,Published Confirmed,0,<a refstr=BARRAG_AACUTE_N_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv211013069B/abstract target=ref>Barrag&aacute;n et al. 2021</a>,6.39804200,0.00000670,-0.00000620,0,0.060400,0.002700,-0.002600,0,2.790,0.100,-0.100,0,0.249,0.009,-0.009,0,10.20000,3.40000,-3.10000,0,0.03209,0.01070,-0.00975,0,Mass,0.090000,0.090000,-0.060000,0,43.30,5.30,-4.70,0,714,21,-20,0,0,<a refstr=BARRAG_AACUTE_N_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv211013069B/abstract target=ref>Barrag&aacute;n et al. 2021</a>,K4 V,4511.00,110.00,-110.00,0,0.65,0.02,-0.02,0,0.73,0.02,-0.02,0,0.000,0.090,-0.090,0,[Fe/H],4.62,0.12,-0.12,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h38m45.19s,129.6883026,-13d15m23.50s,-13.2565267,31.5666000,0.0321000,-0.0320000,9.6700000,0.0300000,-0.0300000,6.9480000,0.0240000,-0.0240000,9.2703300,0.0004800,-0.0004800,2022-03-16,2021-10,2022-03-16
KOI-3503 c,KOI-3503,1,1,2,Transit,2021,Kepler,0,1,Published Confirmed,0,<a refstr=JONTOF_HUTTER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161..246J/abstract target=ref>Jontof-Hutter et al. 2021</a>,31.82800000,,,0,,,,,1.210,0.280,-0.090,0,0.108,0.025,-0.008,0,10.36000,,,1,0.03260,,,1,Mass,,,,,,,,,686,12,-11,0,1,<a refstr=JONTOF_HUTTER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161..246J/abstract target=ref>Jontof-Hutter et al. 2021</a>,,6001.00,60.00,-60.00,0,1.25,0.03,-0.03,0,0.86,0.02,-0.02,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h32m36.18s,293.1507654,+41d43m44.95s,41.7291532,887.0640000,12.3700000,-12.3700000,13.8310000,0.1140000,-0.1140000,12.4830000,0.0260000,-0.0260000,13.7744000,0.0002840,-0.0002840,2021-06-11,2021-05,2021-06-11
HD 191939 b,HD 191939,1,1,5,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),1,1,Published Confirmed,0,<a refstr=LUBIN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..101L/abstract target=ref>Lubin et al. 2022</a>,8.88029000,0.00002000,-0.00002000,0,0.078000,0.001000,-0.001000,0,3.390,0.070,-0.070,0,0.302,0.006,-0.006,0,10.40000,0.90000,-0.90000,0,0.03272,0.00283,-0.00283,0,Mass,0.000000,,,0,,,,,893,36,-36,0,0,<a refstr=LUBIN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..101L/abstract target=ref>Lubin et al. 2022</a>,G9 V,5348.00,100.00,-100.00,0,0.94,0.02,-0.02,0,0.81,0.04,-0.04,0,-0.150,0.060,-0.060,0,[Fe/H],4.30,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h08m06.15s,302.0256247,+66d51m01.09s,66.8503014,53.6089000,0.0733000,-0.0731000,8.9700000,0.0300000,-0.0300000,7.1800000,0.0210000,-0.0210000,8.7747600,0.0002380,-0.0002380,2022-03-28,2022-02,2022-03-28
Kepler-106 c,Kepler-106,1,1,4,Transit,2014,Kepler,1,1,Published Confirmed,0,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,13.57080000,,,0,,,,,2.500,0.320,-0.320,0,0.223,0.029,-0.029,0,10.44000,3.20000,-3.20000,0,0.03300,0.01000,-0.01000,0,Mass,,,,,,,,,,,,,0,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,,5858.00,114.00,-114.00,0,1.04,0.17,-0.17,0,1.00,0.06,-0.06,0,-0.120,0.110,-0.110,0,[Fe/H],4.41,0.14,-0.14,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h03m27.36s,300.8640060,+44d20m15.18s,44.3375497,444.3220000,6.1010000,-5.9410000,12.9230000,0.0800000,-0.0800000,11.4310000,0.0180000,-0.0180000,12.8391000,0.0001860,-0.0001860,2014-05-14,2014-02,2014-05-14
